,name,address,id,rating,type,user_ratings_total,place_id
15,Village Grill,"148 Yale Ave, Claremont, CA 91711, United States",708a79b8588bac9193218d59c8a669a786b52185,4.4,"restaurant, food, point_of_interest, establishment",360,ChIJ3WJF2sExw4ARgidy3cLdgiI
16,Eureka!,"580 W 1st St, Claremont, CA 91711, United States",6361419854030afcfa6ca2f42c90802f2abbeccf,4.5,"restaurant, food, point_of_interest, establishment",1012,ChIJF5cescIxw4ARTBnun2bpPO4
17,50-Fifty Asian Fusion,"201 N Indian Hill Blvd, Claremont, CA 91711, United States",7b59e40e3d4611f94def650d5e2889d299c2442f,4.4,"restaurant, food, point_of_interest, establishment",79,ChIJu9tJ9cExw4ARdZ-bxck2-ko
18,Legends Burgers,"2420 W Arrow Rte # 1D, Upland, CA 91786, United States",309ee0817697d36bca0c69458b7fc099598ba87e,4.3,"restaurant, food, point_of_interest, establishment",624,ChIJA1qmpqIxw4ARKt_mKuurJVs
19,Srida Thai Cuisine,"924 N Central Ave, Upland, CA 91786, United States",94a0e5c02b13ccbe41b29aeaca3b3fa9e9ef8df1,4.3,"restaurant, food, point_of_interest, establishment",93,ChIJO1GJbQoxw4ARzmOh9EWDup0
20,Buca di Beppo Italian Restaurant,"505 W Foothill Blvd, Claremont, CA 91711, United States",207d1476d536fecdc96080207f8f77f8ebfd6f95,4.3,"restaurant, food, point_of_interest, establishment",1863,ChIJIemW-M4xw4AR20hXrsScu3A
21,Oke Poke,"2799, 405 W Foothill Blvd #103, Claremont, CA 91711, United States",a000b3c328c17cd7331c1329a89746bc875f7872,4.6,"restaurant, food, point_of_interest, establishment",98,ChIJc-wK6M4xw4ARkw09RdYCEj8
22,Bardot,"206 W Bonita Ave, Claremont, CA 91711, United States",75cd528ddbca73bdd4d9f1f6bcf439439e95b749,4.3,"restaurant, food, point_of_interest, establishment",495,ChIJ9Y37NcAxw4AR7dKhnhBFM50
23,Baker's Drive-Thru,"2416 W Arrow Route, Upland, CA 91786, United States",897df1b6ab9d32a89a3f12beadea8a87719cb1b2,4.4,"restaurant, food, point_of_interest, establishment",333,ChIJyV44gJgxw4ARDtMrpuOtQvo
24,Aruffo's Italian Cuisine,"126 Yale Ave, Claremont, CA 91711, United States",fe8453b1adc332e68d40ed61c0f396d127bf54e9,4.6,"restaurant, food, point_of_interest, establishment",299,ChIJZTNzduoxw4ARJUwpSoxMTPQ
25,Dr. Grubb's,"373 W Bonita Ave, Claremont, CA 91711, United States",814881f54c88b9166c765cac7cb84cbf027daeb5,4.6,"restaurant, food, point_of_interest, establishment",349,ChIJy3Uyl8Exw4ARz01BruIC5GU
26,"Walter's Restaurant, Bar and Lounge","310 Yale Ave, Claremont, CA 91711, United States",5dab066dd6b5d68f76717d55b2a7817d0dee1cbe,4.2,"restaurant, bar, food, point_of_interest, establishment",436,ChIJEVCGu8Exw4ARKAbdE-ARdmk
27,Cafe Moderno,"9197 Central Ave, Montclair, CA 91763, United States",920639331491b631203d80e0053ab5e14c033a2c,4.6,"restaurant, food, point_of_interest, establishment",171,ChIJJ9jZzXgxw4ARu-lMXOMT2Ec
28,Pizza 'n Such,"273 W 2nd St, Claremont, CA 91711, United States",0f90e9e403cae4ec880cbb8d55b1c668e61dcf3a,4.4,"restaurant, food, point_of_interest, establishment",423,ChIJ9bJC0MExw4ARHk2p-DCrBdw
29,LE Chef Mediterranean,"930 N Central Ave, Upland, CA 91786, United States",b5b4ce384fcda9660fa8fef65bb3e5e2879edab9,4.6,"restaurant, food, point_of_interest, establishment",59,ChIJoR7mX74xw4AR_JZTuz8bsPs
30,The Habit Burger Grill,"1213 W Foothill Blvd, Upland, CA 91786, United States",d4a149f706b4fa91664ef18ca39901f7958241e5,4.5,"restaurant, food, point_of_interest, establishment",841,ChIJN-Mq0BQxw4ARjz5rTGxpEHA
31,MOD Pizza,"2085 Base Line Road Building D, #110, Upland, CA 91784, United States",d247d141ec2c25668ceaa2a14a461d55e524e52b,4.6,"restaurant, food, point_of_interest, establishment",241,ChIJ95gt06oxw4ARQOVa7_uPJq4
32,Casa Jimenez,"921 W Foothill Blvd, Claremont, CA 91711, United States",e6f08d76e87c3410997fe0edf05fb0ff08c9087c,4.6,"restaurant, food, point_of_interest, establishment",355,ChIJ3dTzBdQxw4AR4TgiYwjbJtI
33,Carrows Restaurants,"425 N Mountain Ave, Upland, CA 91786, United States",ebc32a6f51587b25e6e25c9e200e556639fa0f95,4.3,"restaurant, food, point_of_interest, establishment",326,ChIJH99gHWkxw4ARPQMwGVfQFZw
34,Tacos El Paisa,"1655 W Arrow Route # B, Upland, CA 91786, United States",3311fc681deedc8bac4e3838f9205ea3dc67ed71,4.6,"restaurant, food, point_of_interest, establishment",150,ChIJBz7ny3Mxw4ARJIUSnF3pAs4
35,Foxy Noodle And BBQ,"507 N Mountain Ave #5016, Upland, CA 91786, United States",cf50af341ea3881bcc486353c96f4a3b9725397b,4.5,"restaurant, food, point_of_interest, establishment",89,ChIJjyRaRmkxw4ARi65SAx7aJg0
36,Saca's Mediterranean Cuisine,"248 W 2nd St, Claremont, CA 91711, United States",365dd71a98d817de61723477f5b325c9bd5f136e,4.5,"restaurant, food, point_of_interest, establishment",300,ChIJn_hx1MExw4AR53WuBm0meFA
37,Boca Burger With A Bit of Argentina,"425 W Foothill Blvd, Claremont, CA 91711, United States",5d5a58c9bceeb58a25d3b8c45d172ca8014b3faa,4.4,"restaurant, food, point_of_interest, establishment",81,ChIJcdRiJ88xw4AR_poa940NTE0
38,The Upper House,"352 S Indian Hill Blvd, Claremont, CA 91711, United States",e84efbc78510f0c19db16b167c08e2a6b59d98ac,4.6,"restaurant, food, point_of_interest, establishment",111,ChIJU78zC-wxw4ARRQumHr9u6_o
39,SUSHI YAN,"9047 Central Ave, Montclair, CA 91763, United States",74aac0ef8ee786430348bd1ade05c963c051178e,4.4,"restaurant, food, point_of_interest, establishment",49,ChIJo9VEW3gxw4ARXpjI3VcaX3k
40,Poke Dot,"175 N Indian Hill Blvd B101A, Claremont, CA 91711, United States",487afcfe6a239e80145c5e52197a827f15af0be7,4.6,"restaurant, food, point_of_interest, establishment",202,ChIJjdEd98Exw4ARfV0__hRE6Tw
41,Casa Moreno Mexican Restaurant,"101 N Indian Hill Blvd, Claremont, CA 91711, United States",3f63feb90b674310933ca9aace30912d39f49507,4.3,"bar, restaurant, food, point_of_interest, establishment",281,ChIJRRDlAsIxw4ARsGNNANdjsDk
42,Petiscos,"211 W 1st St, Claremont, CA 91711, United States",6ea88bd5f80e8f692c4a0f9f0a5c3869f2e616b6,4.2,"restaurant, food, point_of_interest, establishment",143,ChIJM7aZh-oxw4ARVM8QqjDJxk0
43,Kazama Sushi,"101 N Indian Hill Bl # C1-104a, Claremont, CA 91711, United States",dde5ea60629e9f47907cb5c3eca993b2c82b582e,4.6,"restaurant, food, point_of_interest, establishment",202,ChIJA1gu_MExw4AR7VffDKCXjVk
44,Szechuwan Garden,"8851 Central Ave, Montclair, CA 91763, United States",b79f33b141fa39bb0038e85c6e61f458001ca68b,4.3,"restaurant, food, point_of_interest, establishment",186,ChIJ8VppkHcxw4ARWyVt-IfHa_k
45,Fratello's Pizza & Pasta,"1667 N Mountain Ave ste 123 & 124, Upland, CA 91784, United States",fa80342402563511c3946f08395391aaff0ada6a,4.6,"restaurant, food, point_of_interest, establishment",99,ChIJc4J9kh4xw4ARAEFgPeIQD8w
46,Madre Tierra Restaurant Bar,"220 N Central Ave, Upland, CA 91786, United States",de806e9fb9e2db8ad7eb86308db6aac59f9e1ad6,4.5,"restaurant, food, point_of_interest, establishment",200,ChIJc5FcPpwxw4ARBoaMeWekbtE
47,Le Pain Quotidien,"175 N Indian Hill Blvd, Claremont, CA 91711, United States",d10e91f3d1ad368d6533ca2747a7729f2e061abc,4.3,"restaurant, bakery, cafe, food, point_of_interest, store, establishment",203,ChIJxfD888Exw4ARzQTzQEbKhd0
48,Original Louis Burgers,"430 N Central Ave, Upland, CA 91786, United States",4501547cbb4780fa9b8389f7885c37952a3aaa2a,4.2,"restaurant, food, point_of_interest, establishment",537,ChIJi929lnUxw4ARNoYCetgXm_U
49,Blaze Pizza,"1 N Indian Hill Blvd, Claremont, CA 91711, United States",176fc07a6527962a9214db3d4a470dca69a61d20,4.5,"meal_takeaway, restaurant, food, point_of_interest, establishment",663,ChIJ2fApAuoxw4ARnNzKvCZmrTk
50,Swad Of India,"1410 W 7th St, Upland, CA 91786, United States",a9da6e66a2c4d71c08f657e06426490ef96d8e05,4.4,"restaurant, food, point_of_interest, establishment",261,ChIJlZaqRGMxw4ARfomPaeG33jI
51,Sushi Takumi,"1651 W Foothill Blvd A, Upland, CA 91786, United States",8fc8e1086e3e9d0bcdcc71f4ddfd4cdd0f402566,4.3,"restaurant, food, point_of_interest, establishment",419,ChIJ93bTSQwxw4ARlZoqvEZbWjY
52,House Of Pong,"1077 W Foothill Blvd, Claremont, CA 91711, United States",ca668c7ba9d07be18a71435c2f096902af4e05e5,4.7,"restaurant, food, point_of_interest, establishment",115,ChIJMWiUlNUxw4ARnrrILpKkMIY
53,El Ranchero Restaurant,"984 W Foothill Blvd, Claremont, CA 91711, United States",c15f22cd46bdd06e62b50f5b93db45c1f6906a79,4.4,"restaurant, food, point_of_interest, establishment",421,ChIJt0eIgtYxw4AR_GcPHRU7bx4
54,Heroes & Legends Bar & Grill,"131 Yale Ave, Claremont, CA 91711, United States",59016b18cc6a9d1d775552ec665c602056547fd1,4.3,"bar, restaurant, food, point_of_interest, establishment",538,ChIJxerF3cExw4ARyMrhFA6UJ90
55,Original Tommy's,"9309 Central Ave, Montclair, CA 91763, United States",acc6c4bf56231198b0602979ff5cb01360c0ace1,4.5,"restaurant, food, point_of_interest, establishment",845,ChIJYx7Cbn8xw4AR57FrSorsewo
56,Red Lobster,"9345 Monte Vista Ave, Montclair, CA 91763, United States",cfb9442b0db19e41f8c12afb40b37660df6d11a3,4.3,"bar, restaurant, food, point_of_interest, establishment",758,ChIJsVVMpIYxw4ARnXOB7ld0S6Y
57,Tokyo Kitchen,"8851 N Central Ave, Montclair, CA 91763, United States",e8736dd2737a0d5319b823b6bdc3cac5eda2e956,4.4,"restaurant, food, point_of_interest, establishment",255,ChIJqSKGwncxw4ARTCyCGFf3ByU
58,SpireWorks,"2129 Base Line Rd #200, Upland, CA 91786, United States",8f71bc2c5f6690460474b61de4c2476ec1703cc4,3.8,"restaurant, food, point_of_interest, establishment",66,ChIJJxBWsaoxw4ARYMP-bCvWBHU
59,Rodrigo's Mexican Grill (formerly Don Jose's),"8950 N Central Ave, Montclair, CA 91763, United States",e26eacea1f6e750d7217de9d071e120ded60f845,4.2,"restaurant, food, point_of_interest, establishment",465,ChIJw_4H_Hcxw4ARwlVu3Jc6dVw
